pincode,district,state,latitude,longitude
110073,South West,Delhi,28.5709,76.9077
110074,South,Delhi,28.5073,77.1846
110075,South West,Delhi,28.5807,77.0496
110076,South,Delhi,28.5300,77.3000
110077,South West,Delhi,28.5695,77.0607
110078,South West,Delhi,28.6102,77.0377
110080,South,Delhi,28.5038,77.2424
110081,North West,Delhi,28.7349,77.0056
110082,North,Delhi,28.7722,77.1190
110083,North West,Delhi,28.6938,77.0889
110084,Central,Delhi,28.7572,77.1978
110085,North West,Delhi,28.7119,77.1247
110086,North West,Delhi,28.7016,77.0797
110087,West,Delhi,28.6797,77.0882
110088,North,Delhi,28.6934,77.1714
110089,North West,Delhi,28.7348,77.1325
110090,North East,Delhi,28.6923,77.3042
110091,East,Delhi,28.6144,77.3042
110092,East,Delhi,28.6436,77.3042
110093,North East,Delhi,28.6937,77.3046
110094,North East,Delhi,28.6923,77.3042
110095,Shahdara,Delhi,28.6800,77.3165
110096,East,Delhi,28.6178,77.3296
110097,South West,Delhi,28.5249,77.0710
110099,North West,Delhi,28.7206,77.0809
110110,North West,Delhi,28.7158,77.1100
121001,Faridabad,Haryana,28.3876,77.2999
121002,Faridabad,Haryana,28.4067,77.3240
121003,Faridabad,Haryana,28.4216,77.3209
121004,Faridabad,Haryana,28.3434,77.3229
121005,Faridabad,Haryana,28.3807,77.2944
121006,Faridabad,Haryana,28.3692,77.3238
121007,Faridabad,Haryana,28.3833,77.3259
121008,Faridabad,Haryana,28.3918,77.3021
121009,Faridabad,Haryana,28.4881,77.2946
121010,Faridabad,Haryana,28.4391,77.3009
121012,Faridabad,Haryana,28.3918,77.3021
121013,Faridabad,Haryana,28.3918,77.3021
121014,Faridabad,Haryana,28.4726,77.4848
121015,Faridabad,Haryana,28.3453,77.2965
121101,Faridabad,Haryana,28.3751,77.4178
121102,Palwal,Haryana,28.1929,77.2928
121103,Palwal,Haryana,28.0511,77.1888
121105,Palwal,Haryana,28.0364,77.3351
121106,Palwal,Haryana,27.9334,77.3238
121107,Palwal,Haryana,27.9851,77.4620
122001,Gurugram,Haryana,28.4611,77.0218
122002,Gurugram,Haryana,28.4661,77.1058
122003,Gurugram,Haryana,28.4465,77.0736
122004,Gurugram,Haryana,28.4139,76.9932
122005,Gurugram,Haryana,28.5056,77.0711
122006,Gurugram,Haryana,28.4856,77.0091
122007,Gurugram,Haryana,28.4620,77.0316
122008,Gurugram,Haryana,28.4620,77.0316
122009,Gurugram,Haryana,28.3409,76.7562
122010,Gurugram,Haryana,28.4661,77.1058
122011,Gurugram,Haryana,28.4620,77.0316
122012,Gurugram,Haryana,28.4139,76.9932
122015,Gurugram,Haryana,28.4974,77.0631
122016,Gurugram,Haryana,28.4966,77.0853
122017,Gurugram,Haryana,28.4846,77.0316
122018,Gurugram,Haryana,28.4620,77.0316
122051,Gurugram,Haryana,28.3431,76.9402
122052,Gurugram,Haryana,28.3420,76.9365
122098,Gurugram,Haryana,28.3914,77.0512
122101,Gurugram,Haryana,28.3914,77.0512
122102,Gurugram,Haryana,28.3522,77.0647
122103,Gurugram,Haryana,28.2485,77.0658
122104,Nuh,Haryana,27.7873,76.9465
122105,Nuh,Haryana,28.2131,76.9547
122107,Nuh,Haryana,28.0959,77.0017
122108,Nuh,Haryana,27.9204,76.9845
122413,Gurugram,Haryana,,
122414,Gurugram,Haryana,28.2717,76.7409
122502,Rewari,Haryana,28.2930,76.6973
122503,Gurugram,Haryana,28.3257,76.7778
122504,Gurugram,Haryana,28.4670,77.0812
122505,Gurugram,Haryana,28.4216,76.9143
122506,Gurugram,Haryana,28.4468,76.8257
122508,Nuh,Haryana,27.8247,77.1771
123001,Mahendragarh,Haryana,28.0441,76.1181
123021,Mahendragarh,Haryana,28.1009,76.2532
123023,Mahendragarh,Haryana,27.8925,76.1105
123024,Mahendragarh,Haryana,28.3788,75.9647
123027,Mahendragarh,Haryana,28.3364,76.3065
123028,Mahendragarh,Haryana,28.1918,76.1306
123029,Mahendragarh,Haryana,28.2581,76.1392
123031,Mahendragarh,Haryana,28.2710,76.1494
123034,Mahendragarh,Haryana,28.2586,76.2277
123035,Rewari,Haryana,28.3562,76.6238
123101,Rewari,Haryana,28.2013,76.4859
123102,Rewari,Haryana,28.1459,76.3947
123103,Rewari,Haryana,28.1969,76.3976
123106,Rewari,Haryana,28.2314,76.8014
123110,Rewari,Haryana,,
123301,Rewari,Haryana,28.3598,76.5353
123302,Rewari,Haryana,28.3992,76.4837
123303,Rewari,Haryana,28.4094,76.3970
123401,Rewari,Haryana,28.2027,76.6170
123411,Rewari,Haryana,28.2954,76.3838
123412,Rewari,Haryana,28.0973,76.5156
123501,Rewari,Haryana,28.0699,76.5799
124001,Rohtak,Haryana,28.8820,76.5881
124010,Rohtak,Haryana,28.7337,76.7463
124021,Rohtak,Haryana,28.4530,76.3785
124022,Rohtak,Haryana,28.6716,76.7481
124102,Jhajjar,Haryana,28.7600,76.9318
124103,Jhajjar,Haryana,28.6411,76.6393
124104,Jhajjar,Haryana,28.7085,76.7178
124105,Jhajjar,Haryana,28.5972,76.8240
124106,Jhajjar,Haryana,28.7359,76.5105
124107,Jhajjar,Haryana,28.6716,76.8240
124108,Jhajjar,Haryana,28.7359,76.5105
124109,Jhajjar,Haryana,28.5068,76.5701
124111,Rohtak,Haryana,28.7359,76.5105
124112,Rohtak,Haryana,28.5763,76.4305
124113,Rohtak,Haryana,28.6056,76.6200
124141,Jhajjar,Haryana,28.8956,76.5925
124142,Jhajjar,Haryana,28.5021,76.3454
124146,Jhajjar,Haryana,28.6716,76.7481
124201,Jhajjar,Haryana,28.7085,76.5627
124202,Jhajjar,Haryana,28.6841,76.5541
124303,Rohtak,Haryana,28.6812,76.5105
124401,Rohtak,Haryana,28.7254,76.5810
124404,Rohtak,Haryana,28.6581,76.8633
124406,Rohtak,Haryana,28.7359,76.6200
124411,Rohtak,Haryana,28.4530,76.3785
124412,Rohtak,Haryana,28.6707,76.5653
124501,Rohtak,Haryana,28.6350,76.8240
124504,Jhajjar,Haryana,28.6716,76.7534
124505,Jhajjar,Haryana,28.7586,76.8669
124506,Jhajjar,Haryana,28.7085,76.9027
124507,Jhajjar,Haryana,28.6812,76.9027
124508,Jhajjar,Haryana,28.6719,76.8726
124513,Rohtak,Haryana,29.0100,76.3782
124514,Rohtak,Haryana,28.7359,76.5105
125001,Hisar,Haryana,29.1594,75.7232
125004,Hisar,Haryana,29.5082,75.4535
125005,Hisar,Haryana,29.1323,75.7426
125006,Hisar,Haryana,29.1123,75.8184
125007,Hisar,Haryana,29.1494,75.5658
125011,Hisar,Haryana,29.2046,75.6888
125033,Hisar,Haryana,29.0977,75.9688
125037,Hisar,Haryana,28.9449,75.8261
125038,Hisar,Haryana,29.1899,76.2246
125039,Hisar,Haryana,29.2246,76.1388
125042,Hisar,Haryana,29.1087,75.5513
125044,Hisar,Haryana,29.1288,75.7845
125047,Hisar,Haryana,29.3384,75.6884
125048,Fatehabad,Haryana,29.4166,75.5487
125049,Hisar,Haryana,29.1594,75.5713
125050,Fatehabad,Haryana,29.5082,75.4535
125051,Fatehabad,Haryana,29.6853,75.5763
125052,Hisar,Haryana,,
125053,Fatehabad,Haryana,29.3852,75.3373
125054,Sirsa,Haryana,29.5461,75.2148
125055,Sirsa,Haryana,29.5348,75.0321
125056,Sirsa,Haryana,29.5348,75.0321
125058,Sirsa,Haryana,29.4503,75.1193
125060,Sirsa,Haryana,29.5457,75.1141
125075,Sirsa,Haryana,29.5275,74.7395
125076,Sirsa,Haryana,29.5236,74.8406
125077,Sirsa,Haryana,29.7654,74.8993
125078,Sirsa,Haryana,29.6994,75.0066
125101,Sirsa,Haryana,,
125102,Sirsa,Haryana,29.4491,74.6629
125103,Sirsa,Haryana,29.7832,74.7477
125104,Sirsa,Haryana,,
125106,Fatehabad,Haryana,29.6746,75.7301
125110,Sirsa,Haryana,29.3710,75.1261
125111,Fatehabad,Haryana,,
125112,Hisar,Haryana,29.5743,75.7863
125113,Hisar,Haryana,,
125120,Fatehabad,Haryana,29.7209,75.9025
125121,Hisar,Haryana,29.3298,75.9268
125133,Fatehabad,Haryana,29.8090,75.8233
125201,Sirsa,Haryana,29.8268,74.9754
126101,Jind,Haryana,,
126102,Jind,Haryana,29.3140,76.3098
126110,Jind,Haryana,29.3804,76.4505
126111,Jind,Haryana,29.4657,76.4548
126112,Jind,Haryana,29.3999,76.5555
126113,Jind,Haryana,,
126114,Jind,Haryana,29.5903,76.1099
126115,Jind,Haryana,29.4673,76.1809
126116,Jind,Haryana,29.5903,76.1099
126125,Jind,Haryana,29.4318,76.3721
126152,Jind,Haryana,29.5903,76.1099
127021,Bhiwani,Haryana,28.7752,75.9928
127022,Charki Dadri,Haryana,28.4614,76.2609
127025,Charki Dadri,Haryana,28.7784,76.3418
127026,Charki Dadri,Haryana,28.5997,76.1517
127027,Bhiwani,Haryana,28.8837,76.2392
127028,Bhiwani,Haryana,28.6296,75.6179
127029,Bhiwani,Haryana,28.6995,75.8708
127030,Bhiwani,Haryana,28.6358,75.9434
127031,Bhiwani,Haryana,28.8620,76.1407
127032,Bhiwani,Haryana,28.9449,76.0334
127035,Bhiwani,Haryana,28.9639,75.9565
127040,Bhiwani,Haryana,28.8725,75.9144
127041,Bhiwani,Haryana,28.9734,76.1958
127042,Charki Dadri,Haryana,28.7129,76.2911
127043,Bhiwani,Haryana,28.7218,75.7664
127045,Bhiwani,Haryana,28.9648,75.6063
127046,Bhiwani,Haryana,28.9084,75.6121
127111,Bhiwani,Haryana,28.8199,76.0653
127114,Bhiwani,Haryana,28.8280,76.3087
127201,Bhiwani,Haryana,28.4267,75.8040
127306,Charki Dadri,Haryana,28.5921,76.2653
127307,Charki Dadri,Haryana,28.6745,76.3707
127308,Charki Dadri,Haryana,28.5094,75.9376
127309,Bhiwani,Haryana,28.7084,76.2200
127310,Charki Dadri,Haryana,28.5216,76.1508
127311,Bhiwani,Haryana,28.7158,76.1414
127312,Charki Dadri,Haryana,28.5074,76.0695
131001,Sonipat,Haryana,29.0100,76.9600
131021,Sonipat,Haryana,28.9600,77.0800
131022,Sonipat,Haryana,28.9927,77.0180
131023,Sonipat,Haryana,29.0500,76.9100
131024,Sonipat,Haryana,29.0600,76.9000
131027,Sonipat,Haryana,29.0300,77.0700
131028,Sonipat,Haryana,29.0500,76.9100
131029,Sonipat,Haryana,28.9800,77.1000
131030,Sonipat,Haryana,,
131039,Sonipat,Haryana,29.0200,77.0600
131101,Sonipat,Haryana,29.1300,77.0100
131102,Sonipat,Haryana,29.0400,77.0223
131103,Sonipat,Haryana,28.8800,77.1000
131301,Sonipat,Haryana,29.1300,76.6900
131302,Sonipat,Haryana,29.1800,76.6200
131304,Sonipat,Haryana,29.1400,77.0400
131305,Sonipat,Haryana,29.2000,76.6100
131306,Sonipat,Haryana,29.2000,76.7700
131402,Sonipat,Haryana,28.8700,76.9100
131403,Sonipat,Haryana,28.9927,76.9400
131408,Sonipat,Haryana,28.9800,76.8100
131409,Sonipat,Haryana,29.4400,77.0000
132001,Karnal,Haryana,29.6933,76.9849
132022,Karnal,Haryana,29.7176,77.0783
132023,Karnal,Haryana,29.6874,76.9907
132024,Karnal,Haryana,29.3960,76.9606
132036,Karnal,Haryana,29.5176,76.8699
132037,Karnal,Haryana,29.3960,76.9606
132039,Karnal,Haryana,29.5212,76.6070
132040,Karnal,Haryana,29.5054,76.7852
132041,Karnal,Haryana,29.7147,77.0540
132046,Karnal,Haryana,29.5053,76.7146
132054,Karnal,Haryana,29.9112,77.1550
132101,Panipat,Haryana,29.2447,77.0093
132102,Panipat,Haryana,29.2117,77.2352
132103,Panipat,Haryana,29.3876,76.9639
132104,Panipat,Haryana,29.3712,76.9750
132105,Panipat,Haryana,29.3927,76.9650
132106,Panipat,Haryana,29.3621,76.9723
132107,Panipat,Haryana,29.2734,76.8505
132108,Panipat,Haryana,29.3473,76.9805
132113,Panipat,Haryana,29.3954,76.8044
132114,Karnal,Haryana,,
132115,Panipat,Haryana,29.2262,77.1156
132116,Karnal,Haryana,29.7997,76.9318
132117,Karnal,Haryana,29.3960,76.9606
132122,Panipat,Haryana,29.2515,77.0991
132140,Panipat,Haryana,29.4808,76.8795
132145,Panipat,Haryana,29.3102,76.9003
132157,Karnal,Haryana,29.3960,76.9606
133001,Ambala,Haryana,30.3419,76.8420
133004,Ambala,Haryana,30.2802,76.7972
133005,Ambala,Haryana,30.3775,76.8262
133006,Ambala,Haryana,30.3326,76.8798
133008,Ambala,Haryana,30.3782,76.7767
133010,Ambala,Haryana,,
133101,Ambala,Haryana,30.3390,76.8462
133102,Ambala,Haryana,30.2514,76.9002
133103,Yamunanagar,Haryana,30.2062,77.1486
133104,Ambala,Haryana,30.3574,76.9609
133201,Ambala,Haryana,30.2217,77.0420
133202,Ambala,Haryana,30.2548,77.1273
133203,Ambala,Haryana,30.2999,77.0413
133204,Yamunanagar,Haryana,30.3780,76.7760
133205,Ambala,Haryana,30.1725,77.0231
133206,Ambala,Haryana,30.3160,77.2350
133207,Ambala,Haryana,30.2675,77.0223
133301,Panchkula,Haryana,30.7743,76.8948
133302,Panchkula,Haryana,30.6063,76.8575
134003,Ambala,Haryana,30.3835,76.7717
134005,Ambala,Haryana,30.3843,76.7717
134007,Ambala,Haryana,30.3874,76.7932
134008,Ambala,Haryana,30.3782,76.7767
134101,Panchkula,Haryana,30.7827,76.9103
134102,Panchkula,Haryana,30.7459,76.8875
134103,Panchkula,Haryana,30.6343,76.9153
134104,Panchkula,Haryana,30.7826,76.9247
134105,Panchkula,Haryana,30.3843,76.7717
134107,Panchkula,Haryana,30.7238,76.8759
134108,Panchkula,Haryana,30.7064,76.8728
134109,Panchkula,Haryana,30.6891,76.8582
134112,Panchkula,Haryana,30.6572,76.8963
134113,Panchkula,Haryana,30.6809,76.8381
134114,Panchkula,Haryana,30.7212,76.8526
134116,Panchkula,Haryana,30.5657,76.9378
134117,Panchkula,Haryana,30.6692,76.8579
134118,Panchkula,Haryana,30.5657,76.9378
134201,Ambala,Haryana,30.4432,76.9308
134202,Ambala,Haryana,30.4235,76.9622
134203,Ambala,Haryana,30.4886,76.8606
134204,Panchkula,Haryana,30.5697,76.9727
134205,Panchkula,Haryana,30.3782,76.7767
135001,Yamunanagar,Haryana,30.1352,77.2903
135002,Yamunanagar,Haryana,30.3782,76.7767
135003,Yamunanagar,Haryana,30.2226,77.2753
135004,Yamunanagar,Haryana,30.0835,77.2654
135021,Yamunanagar,Haryana,30.3782,76.7767
135101,Yamunanagar,Haryana,30.2830,77.1872
135102,Yamunanagar,Haryana,30.3780,76.7760
135103,Yamunanagar,Haryana,30.3009,77.3769
135106,Yamunanagar,Haryana,30.3782,77.4472
135133,Yamunanagar,Haryana,30.0452,77.1672
136020,Kaithal,Haryana,29.8754,76.6066
136021,Kaithal,Haryana,29.8464,76.6632
136026,Kaithal,Haryana,29.7620,76.5596
136027,Kaithal,Haryana,29.7999,76.4173
136030,Kurukshetra,Haryana,29.9362,76.5511
136033,Kaithal,Haryana,29.7999,76.4173
136034,Kaithal,Haryana,29.7999,76.4173
136035,Kaithal,Haryana,30.0380,76.2981
136038,Kurukshetra,Haryana,29.5703,76.8703
136042,Kaithal,Haryana,29.8025,76.5604
136043,Kaithal,Haryana,29.6705,76.5168
136044,Kaithal,Haryana,29.5759,76.4849
136117,Kaithal,Haryana,29.6749,76.2563
136118,Kurukshetra,Haryana,29.9724,76.8511
136119,Kurukshetra,Haryana,29.9555,76.8129
136128,Kurukshetra,Haryana,29.9814,76.5893
136129,Kurukshetra,Haryana,30.1157,76.6664
136130,Kurukshetra,Haryana,29.9732,76.8303
136131,Kurukshetra,Haryana,29.9732,76.8303
136132,Kurukshetra,Haryana,29.9870,77.0410
136134,Kurukshetra,Haryana,29.9695,76.8782
136135,Kurukshetra,Haryana,29.9732,76.8303
136136,Kurukshetra,Haryana,30.1665,76.7096
136156,Kurukshetra,Haryana,30.0843,76.9873
140001,Rupnagar,Punjab,30.9432,76.5350
140101,Rupnagar,Punjab,30.6921,76.6984
140102,Rupnagar,Punjab,30.9666,76.3715
140103,S.a.s Nagar,Punjab,30.9666,76.3715
140108,Rupnagar,Punjab,30.6921,76.6984
140109,S.a.s Nagar,Punjab,30.9234,76.5147
140110,S.a.s Nagar,Punjab,30.6921,76.6984
140111,Rupnagar,Punjab,30.6921,76.6984
140112,Rupnagar,Punjab,30.9666,76.3715
140113,Rupnagar,Punjab,30.9666,76.3715
140114,Rupnagar,Punjab,30.9666,76.3715
140115,Rupnagar,Punjab,31.1848,76.5675
140116,Rupnagar,Punjab,30.9666,76.3715
140117,Rupnagar,Punjab,30.9666,76.3715
140118,Rupnagar,Punjab,30.9642,76.5976
140119,Rupnagar,Punjab,30.6921,76.6984
140123,Rupnagar,Punjab,30.9666,76.3715
140124,Rupnagar,Punjab,30.6921,76.6984
140125,Rupnagar,Punjab,30.6921,76.6984
140126,Rupnagar,Punjab,30.9666,76.3715
140127,Rupnagar,Punjab,30.9666,76.3715
140128,Rupnagar,Punjab,30.9666,76.3715
140133,Rupnagar,Punjab,30.9666,76.3715
140201,S.a.s Nagar,Punjab,30.6921,76.6984
140301,S.a.s Nagar,Punjab,30.9666,76.3715
140306,S.a.s Nagar,Punjab,30.6921,76.6984
140307,S.a.s Nagar,Punjab,30.9666,76.3715
140308,S.a.s Nagar,Punjab,30.6921,76.6984
140401,Patiala,Punjab,30.4860,76.1030
140402,Patiala,Punjab,30.4900,76.5920
140405,Fatehgarh Sahib,Punjab,30.5760,76.3393
140406,Fatehgarh Sahib,Punjab,30.6251,76.3900
140407,Fatehgarh Sahib,Punjab,30.6481,76.3928
140408,Fatehgarh Sahib,Punjab,30.6300,76.5000
140412,Fatehgarh Sahib,Punjab,30.7000,76.4400
140413,S.a.s Nagar,Punjab,30.9666,76.3715
140417,Patiala,Punjab,30.4383,76.6817
140501,S.a.s Nagar,Punjab,30.6921,76.6984
140506,S.a.s Nagar,Punjab,30.6921,76.6984
140507,S.a.s Nagar,Punjab,30.6921,76.6984
140601,Patiala,Punjab,30.5150,76.7300
140602,Patiala,Punjab,30.5600,76.6000
140603,S.a.s Nagar,Punjab,30.6921,76.6984
140604,S.a.s Nagar,Punjab,30.6703,76.8321
140701,Patiala,Punjab,30.4500,76.5400
140702,Patiala,Punjab,30.3319,76.6114
140802,Fatehgarh Sahib,Punjab,30.7700,76.3954
140901,S.a.s Nagar,Punjab,30.6921,76.6984
141001,Ludhiana,Punjab,30.9100,75.8329
141002,Ludhiana,Punjab,30.8682,75.7567
141003,Ludhiana,Punjab,30.8917,75.8620
141004,Ludhiana,Punjab,30.9024,75.8147
141006,Ludhiana,Punjab,30.8589,75.8616
141007,Ludhiana,Punjab,30.9600,75.9150
141008,Ludhiana,Punjab,30.9184,75.8476
141010,Ludhiana,Punjab,30.8976,75.9042
141011,Ludhiana,Punjab,,
141012,Ludhiana,Punjab,30.8804,75.7908
141013,Ludhiana,Punjab,30.8660,75.8236
141014,Ludhiana,Punjab,30.8689,75.9011
141015,Ludhiana,Punjab,30.9276,75.9248
141016,Ludhiana,Punjab,30.8480,75.8905
141017,Ludhiana,Punjab,30.8460,75.9481
141101,Ludhiana,Punjab,30.8420,75.6529
141102,Ludhiana,Punjab,30.8698,75.7124
141103,Ludhiana,Punjab,30.8005,75.7046
141104,Ludhiana,Punjab,30.7643,75.6509
141105,Ludhiana,Punjab,30.7526,75.6863
141106,Ludhiana,Punjab,30.7643,75.6514
141107,Ludhiana,Punjab,30.7172,75.6535
141108,Ludhiana,Punjab,30.6869,75.6834
141109,Ludhiana,Punjab,30.6425,75.6048
141110,Ludhiana,Punjab,30.9135,75.6366
141112,Ludhiana,Punjab,30.8984,76.0078
141113,Ludhiana,Punjab,30.8556,76.0750
141114,Ludhiana,Punjab,30.8311,76.2055
141115,Ludhiana,Punjab,30.9594,76.1949
141116,Ludhiana,Punjab,30.8401,75.7160
141117,Ludhiana,Punjab,30.6926,75.8737
141118,Ludhiana,Punjab,30.7253,75.8414
141119,Ludhiana,Punjab,30.6371,75.9435
141120,Ludhiana,Punjab,30.8422,75.9652
141121,Ludhiana,Punjab,30.9191,76.3080
141122,Ludhiana,Punjab,30.9188,75.7788
141123,Ludhiana,Punjab,30.8696,75.8218
141125,Ludhiana,Punjab,30.8491,76.3009
141126,Ludhiana,Punjab,30.8911,76.0687
141127,Ludhiana,Punjab,30.9437,76.0704
141201,Ludhiana,Punjab,30.7624,75.8213
141202,Ludhiana,Punjab,30.7560,75.7459
141203,Ludhiana,Punjab,30.7669,75.7935
141204,Ludhiana,Punjab,30.7160,75.8152
141205,Ludhiana,Punjab,30.6750,75.7604
141206,Ludhiana,Punjab,30.7921,75.9158
141401,Ludhiana,Punjab,30.6778,76.2520
141411,Fatehgarh Sahib,Punjab,30.7200,76.3300
141412,Ludhiana,Punjab,30.7357,76.1471
141413,Ludhiana,Punjab,30.6559,76.0058
141414,Ludhiana,Punjab,30.6654,76.1175
141415,Ludhiana,Punjab,30.5987,76.0713
141416,Ludhiana,Punjab,30.7301,76.0464
141417,Ludhiana,Punjab,30.7516,76.2226
141418,Ludhiana,Punjab,30.8340,76.0805
141419,Ludhiana,Punjab,30.7265,75.9710
141421,Ludhiana,Punjab,30.7821,75.9969
141422,Ludhiana,Punjab,30.8132,75.6659
141801,Fatehgarh Sahib,Punjab,30.8300,76.3250
142001,Moga,Punjab,30.8134,75.1756
142002,Moga,Punjab,30.8625,75.1945
142003,Moga,Punjab,30.8625,75.1945
142011,Moga,Punjab,30.7880,75.1930
142021,Ludhiana,Punjab,30.8375,75.7469
142022,Ludhiana,Punjab,30.8443,75.7798
142023,Ludhiana,Punjab,30.7979,75.5651
142024,Ludhiana,Punjab,30.8367,75.5131
142025,Ludhiana,Punjab,30.8793,75.5932
142026,Ludhiana,Punjab,30.7936,75.4743
142027,Ludhiana,Punjab,30.9103,75.7497
142028,Ludhiana,Punjab,30.8357,75.6272
142029,Ludhiana,Punjab,30.7986,75.7577
142030,Ludhiana,Punjab,30.7407,75.5336
142031,Ludhiana,Punjab,30.6211,75.4392
142032,Ludhiana,Punjab,30.6287,75.5073
142033,Ludhiana,Punjab,30.9071,75.4704
142034,Ludhiana,Punjab,30.7230,75.4707
142035,Ludhiana,Punjab,30.7357,75.4069
142036,Ludhiana,Punjab,30.8406,75.4294
142037,Moga,Punjab,30.7154,75.2547
142038,Moga,Punjab,30.7051,75.0370
142039,Moga,Punjab,30.8165,75.1717
142040,Moga,Punjab,31.0140,74.9339
142041,Moga,Punjab,30.9255,75.3289
142042,Moga,Punjab,30.9388,75.2332
142043,Moga,Punjab,30.8810,75.1657
142044,Firozepur,Punjab,31.0995,74.9342
142045,Moga,Punjab,30.8134,75.1756
142046,Moga,Punjab,30.5705,75.2155
142047,Firozepur,Punjab,30.9465,74.9391
142048,Moga,Punjab,30.8400,74.8646
142049,Moga,Punjab,30.7860,75.1903
142050,Firozepur,Punjab,30.9181,74.9410
142052,Firozepur,Punjab,30.9181,74.6161
142053,Moga,Punjab,30.7984,75.2481
142054,Moga,Punjab,30.8535,75.3230
142055,Moga,Punjab,30.5760,75.2785
142056,Moga,Punjab,30.6826,75.1903
142057,Moga,Punjab,30.5772,75.0896
142058,Moga,Punjab,30.8165,75.3104
142060,Firozepur,Punjab,30.9181,74.6161
143001,Amritsar,Punjab,31.6386,74.8800
143002,Amritsar,Punjab,31.6343,74.8613
143003,Amritsar,Punjab,31.6300,74.8800
143004,Amritsar,Punjab,31.6386,74.8826
143005,Amritsar,Punjab,31.6300,74.8300
143006,Amritsar,Punjab,31.6200,74.8800
143008,Amritsar,Punjab,31.6850,74.8900
143009,Amritsar,Punjab,31.5600,74.8300
143022,Amritsar,Punjab,31.5800,74.9000
143101,Amritsar,Punjab,31.7200,74.8300
143102,Amritsar,Punjab,31.8400,74.7600
143103,Amritsar,Punjab,31.8700,74.8600
143105,Amritsar,Punjab,31.6200,74.8000
143107,Amritsar,Punjab,31.6150,74.7100
143108,Amritsar,Punjab,31.6100,74.6100
143109,Amritsar,Punjab,31.7200,74.6550
143111,Amritsar,Punjab,31.5544,75.1700
143112,Amritsar,Punjab,31.5050,75.1900
143113,Amritsar,Punjab,31.6400,75.0100
143114,Amritsar,Punjab,31.6800,75.2300
143115,Amritsar,Punjab,31.5400,75.0550
143116,Amritsar,Punjab,31.6350,75.1200
143117,Tarn Taran,Punjab,31.4482,75.0068
143118,Tarn Taran,Punjab,31.4200,75.1600
143119,Amritsar,Punjab,31.7050,75.1250
143149,Amritsar,Punjab,31.5600,75.0800
143201,Amritsar,Punjab,31.5166,75.2745
143202,Amritsar,Punjab,31.5750,75.2350
143203,Amritsar,Punjab,31.6200,75.3200
